x,l,P_reference,P_forward,P_backward,abs_err_forward,rel_err_forward,abs_err_backward,rel_err_backward
0.9,3,0.4725,4.72500000000000087e-01,3.52493265302536107e-01,8.65973959207622101530432701111e-17,1.83274912001613143181043957907e-16,0.120006734697463892658220174781,0.253982507296219878641735819641
0.9,4,0.2079375,2.07937499999999997e-01,1.08379765647456730e-01,2.66453525910037569701671600342e-18,1.28141160642037905477209065388e-17,0.0995577343525432699733457297953,0.478786819849922548714617275841
0.9,5,-0.04114125,-4.11412500000000875e-02,-1.06419391893148974e-01,8.74722516641668335068970918655e-17,2.1261447249212611067212856164e-15,0.0652781418931489735157924769737,1.58668348417097131263130014216
0.9,6,-0.2411643125,-2.41164312500000116e-01,-2.65908467996576414e-01,1.16434861752168217208236455917e-16,4.82803033936325952904978243484e-16,0.0247441554965764141940098852501,0.102602890286996398747886403176
0.9,7,-0.36782499375,-3.67824993750000162e-01,-3.53230389171578618e-01,1.62062718800370930694043636322e-16,4.40597353508066037162934462286e-16,0.0145946045784213818429009279498,0.0396781209173102360527150228486
0.9,8,-0.409685903515625,-4.09685903515625172e-01,-3.63406372230034636e-01,1.71600333942478755488991737366e-16,4.18858282576798727524998324108e-16,0.046279531285590364482374070576,0.112963445626157138805400379811
0.9,9,-0.3695104859765625,-3.69510485976562664e-01,-3.03808264638544545e-01,1.63701372457580873742699623108e-16,4.43022265051401567207058495599e-16,0.0657022213380179548890680507611,0.17780881417851115860180732744
0.9,10,-0.263145617855859375,-2.63145617855859604e-01,-1.92446397524880131e-01,2.28739787644371972419321537018e-16,8.69251745509463366018872980094e-16,0.0706992203309792443749643098272,0.268669571270251759603081980121
0.9,11,-0.1162133925191015625,-1.16213392519101871e-01,-5.44685697122535423e-02,3.0879190887844742974266409874e-16,2.65711121743298607992548557235e-15,0.0617448228068480202301580561652,0.53130557045479292474417417673
0.9,12,0.0407487142724208984375,4.07487142724205845e-02,8.24509149775027594e-02,3.13967342066234778030775487423e-16,7.70496315459775719615152181551e-15,0.0417022007050818610022869279419,1.02339917834674579857580638224
0.9,13,0.17780052164297607421875,1.77800521642975828e-01,1.92982186426219587e-01,2.45822944862084113992750644684e-16,1.38257718588529930521302535267e-15,0.0151816647832435131863786637041,0.0853859406201762271154562786382
0.9,14,0.2707728135987747802734375,2.70772813598774698e-01,2.58400373960685770e-01,8.2699081303871935233473777771e-17,3.05418702139032396021147806536e-16,0.0123724396380890105814457911038,0.0456930645054426343836054603177
0.9,15,0.30519754212842378173828125,3.05197542128423871e-01,2.69499943360454963e-01,8.92390904846251942217350006104e-17,2.92397801968779823007038624998e-16,0.0356975987679688185012206395186,0.11696555129185037824196600523
0.9,16,0.2783387013375876128997802734375,2.78338701337587868e-01,2.27690175646650506e-01,2.55345513247448252514004707336e-16,9.17391336599463044474196744834e-16,0.0506485256909371073299567651702,0.18196724152099574769132097269
0.9,17,0.19902933856891597619476318359375,1.99029338568916359e-01,1.44141124878720051e-01,3.82359143137000501155853271484e-16,1.92111949869443331097908625397e-15,0.0548882136901959256664052958513,0.2757795111256439785768920037
0.9,18,0.0854259023434368794910430908203125,8.54259023434373183e-02,3.72062470937012668e-02,4.38762684051016549346968531609e-16,5.13617851277781566075367783325e-15,0.0482196552497356126761961733791,0.564461760741825435744346876428
